Area,Age,M/F,Cause of death or injury,Measure,"Value per 100,000",Lower bound,Upper bound
Mizoram,<5 years,Male,Chronic respiratory diseases,Affected,0.373815999,0.190920006,0.664128589
Nagaland,<5 years,Male,Chronic respiratory diseases,Affected rank,19,,
Nagaland,<5 years,Male,Chronic respiratory diseases,Affected,0.227883386,0.134775322,0.364093897
Odisha,<5 years,Male,Chronic respiratory diseases,Affected rank,19,,
Odisha,<5 years,Male,Chronic respiratory diseases,Affected,7.141610261,3.956142823,12.37857474
Other Union Territories,<5 years,Male,Chronic respiratory diseases,Affected rank,18,,
Other Union Territories,<5 years,Male,Chronic respiratory diseases,Affected,0.403329148,0.215939748,0.697609176
Punjab,<5 years,Male,Chronic respiratory diseases,Affected rank,18,,
Punjab,<5 years,Male,Chronic respiratory diseases,Affected,2.555415256,1.590409886,4.09299015
Rajasthan,<5 years,Male,Chronic respiratory diseases,Affected rank,14,,
Rajasthan,<5 years,Male,Chronic respiratory diseases,Affected,66.29989186,39.26722581,112.5074808
Sikkim,<5 years,Male,Chronic respiratory diseases,Affected rank,15,,
Sikkim,<5 years,Male,Chronic respiratory diseases,Affected,0.241757607,0.13763962,0.414240476
Tamil Nadu,<5 years,Male,Chronic respiratory diseases,Affected rank,18,,
Tamil Nadu,<5 years,Male,Chronic respiratory diseases,Affected,4.092541854,2.438301014,7.024212623
Telangana,<5 years,Male,Chronic respiratory diseases,Affected rank,17,,
Telangana,<5 years,Male,Chronic respiratory diseases,Affected,6.633885657,4.13935464,11.00310171
Tripura,<5 years,Male,Chronic respiratory diseases,Affected rank,16,,
Tripura,<5 years,Male,Chronic respiratory diseases,Affected,0.866386914,0.41767021,1.456708791
Uttar Pradesh,<5 years,Male,Chronic respiratory diseases,Affected rank,16,,
Uttar Pradesh,<5 years,Male,Chronic respiratory diseases,Affected,247.5134312,149.1316113,452.9918173
Uttarakhand,<5 years,Male,Chronic respiratory diseases,Affected rank,15,,
Uttarakhand,<5 years,Male,Chronic respiratory diseases,Affected,2.890066569,1.69007296,5.220255382
West Bengal,<5 years,Male,Chronic respiratory diseases,Affected rank,17,,
West Bengal,<5 years,Male,Chronic respiratory diseases,Affected,15.2056605,9.553664007,24.75821951
Andhra Pradesh,<5 years,Male,Digestive diseases,Affected rank,15,,
Andhra Pradesh,<5 years,Male,Digestive diseases,Affected,23.01364634,13.1793011,41.45895315
Arunachal Pradesh,<5 years,Male,Digestive diseases,Affected rank,9,,
Arunachal Pradesh,<5 years,Male,Digestive diseases,Affected,3.371951269,1.488302962,6.72469731
Assam,<5 years,Male,Digestive diseases,Affected rank,12,,
Assam,<5 years,Male,Digestive diseases,Affected,58.2075743,30.50361871,101.5570926
Bihar,<5 years,Male,Digestive diseases,Affected rank,8,,
Bihar,<5 years,Male,Digestive diseases,Affected,287.2118579,130.4978761,515.682426
Chhattisgarh,<5 years,Male,Digestive diseases,Affected rank,16,,
Chhattisgarh,<5 years,Male,Digestive diseases,Affected,21.12901131,10.16020974,41.02252625
Delhi,<5 years,Male,Digestive diseases,Affected rank,14,,
Delhi,<5 years,Male,Digestive diseases,Affected,5.753145149,3.092792153,10.88610872
Goa,<5 years,Male,Digestive diseases,Affected rank,12,,
Goa,<5 years,Male,Digestive diseases,Affected,0.50444575,0.195836244,1.04409958
Gujarat,<5 years,Male,Digestive diseases,Affected rank,15,,
Gujarat,<5 years,Male,Digestive diseases,Affected,28.61038038,15.33232969,53.18799374
Haryana,<5 years,Male,Digestive diseases,Affected rank,15,,
Haryana,<5 years,Male,Digestive diseases,Affected,14.48386209,8.292930737,24.30424782
Himachal Pradesh,<5 years,Male,Digestive diseases,Affected rank,14,,
Himachal Pradesh,<5 years,Male,Digestive diseases,Affected,3.082221086,1.877460212,5.148570225
